name,profile_url,image_url,local_path
Boris Aronov,https://engineering.nyu.edu/faculty/boris-aronov,https://cs.nyu.edu/media/faculty_photos/boris_aronov.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Boris_Aronov.jpg
Ainesh Bakshi,https://engineering.nyu.edu/faculty/ainesh-bakshi,https://cs.nyu.edu/media/faculty_photos/ainesh_bakshi.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Ainesh_Bakshi.jpg
Marshall Ball,https://cs.nyu.edu/~mmb586/index.html,https://cs.nyu.edu/media/faculty_photos/Ball.JPG,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Marshall_Ball.jpg
Rosanna Bellini,https://engineering.nyu.edu/faculty/rosanna-bellini,https://cs.nyu.edu/media/faculty_photos/rosanna_bellini.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Rosanna_Bellini.png
Juan Pablo Bello,https://engineering.nyu.edu/faculty/juan-pablo-bello,https://cs.nyu.edu/media/faculty_photos/Bello_Juan_Pablo_-_Headshot_2.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Juan_Pablo_Bello.png
Aaron Bernstein,https://engineering.nyu.edu/faculty/aaron-bernstein,https://cs.nyu.edu/media/faculty_photos/aaron_bernstein.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Aaron_Bernstein.jpg
Nir Bitansky,https://sites.google.com/site/nirbitansky/,https://cs.nyu.edu/media/faculty_photos/nir-cropped_iNfo8Hd.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Nir_Bitansky.png
Emily Black,https://engineering.nyu.edu/faculty/emily-black,https://cs.nyu.edu/media/faculty_photos/emily_black.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Emily_Black.jpg
Joseph Bonneau,http://jbonneau.com/,https://cs.nyu.edu/media/faculty_photos/Bonneau_Joseph_final_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Joseph_Bonneau.jpg
Samuel Bowman,https://sleepinyourhat.github.io/,https://cs.nyu.edu/media/faculty_photos/Bowman_Samuel_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Samuel_Bowman.jpg
Joan Bruna,http://cims.nyu.edu/~bruna,https://cs.nyu.edu/media/faculty_photos/Bruna_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Joan_Bruna.jpg
Benedikt Bünz,http://bue.nz/,https://cs.nyu.edu/media/faculty_photos/bunz-cropped.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Benedikt_B_nz.png
Justin Cappos,https://engineering.nyu.edu/faculty/justin-cappos,https://cs.nyu.edu/media/faculty_photos/justin_cappos.JPG,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Justin_Cappos.jpg
Yi-Jen Chiang,https://engineering.nyu.edu/faculty/yi-jen-chiang,https://cs.nyu.edu/media/faculty_photos/yijen_chiang.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Yi-Jen_Chiang.jpg
Kyunghyun Cho,http://kyunghyuncho.me/,https://cs.nyu.edu/media/faculty_photos/Cho_16-0015_1000_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Kyunghyun_Cho.jpg
Eunsol Choi,https://eunsol.github.io/,https://cs.nyu.edu/media/faculty_photos/choi_eunsol_larger_headshot250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Eunsol_Choi.jpg
Sumit Chopra,https://www.spchopra.net/,https://cs.nyu.edu/media/faculty_photos/Chopra.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Sumit_Chopra.jpg
Rumi Chunara,https://engineering.nyu.edu/faculty/rumi-chunara,https://cs.nyu.edu/media/faculty_photos/rumi_chunara.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Rumi_Chunara.png
Patrick Cousot,http://cs.nyu.edu/~pcousot/,https://cs.nyu.edu/media/faculty_photos/Cousot_16-0015_1348_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Patrick_Cousot.jpg
Thibault Dardinier,https://dardinier.me/,https://cs.nyu.edu/media/faculty_photos/picture_profile.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Thibault_Dardinier.jpeg
Ernest Davis,http://cs.nyu.edu/cs/faculty/davise/,https://cs.nyu.edu/media/faculty_photos/Davis_16-0015_0748_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Ernest_Davis.jpg
Juan de Pablo,https://engineering.nyu.edu/faculty/juan-de-pablo,https://cs.nyu.edu/media/faculty_photos/Juan_de_Pablo_2022.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Juan_de_Pablo.jpg
Yevgeniy Dodis,http://cs.nyu.edu/~dodis/,https://cs.nyu.edu/media/faculty_photos/Dodis_16-0015_1192_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Yevgeniy_Dodis.jpg
Greg Durrett,https://gregdurrett.github.io/,https://cs.nyu.edu/media/faculty_photos/photo.png,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Greg_Durrett.png
Martin Farach-Colton,https://engineering.nyu.edu/faculty/martin-farach-colton,https://cs.nyu.edu/media/faculty_photos/martin_colton.JPG,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Martin_Farach-Colton.jpg
Rob Fergus,http://cs.nyu.edu/~fergus/,https://cs.nyu.edu/media/faculty_photos/Fergus_16-0015_1004.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Rob_Fergus.jpg
David Fouhey,https://cs.nyu.edu/~fouhey/,https://cs.nyu.edu/media/faculty_photos/crop5.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/David_Fouhey.jpg
Juliana Freire,https://engineering.nyu.edu/faculty/juliana-freire,https://cs.nyu.edu/media/faculty_photos/Freire_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Juliana_Freire.jpg
Davi Geiger,http://cs.nyu.edu/cs/faculty/geiger/,https://cs.nyu.edu/media/faculty_photos/Geiger_16-0015_0112_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Davi_Geiger.jpg
Benjamin Goldberg,http://cs.nyu.edu/cs/faculty/goldberg/,https://cs.nyu.edu/media/faculty_photos/Goldberg_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Benjamin_Goldberg.jpg
Rachel Greenstadt,https://engineering.nyu.edu/faculty/rachel-greenstadt,https://cs.nyu.edu/media/faculty_photos/rachel_greenstadt.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Rachel_Greenstadt.jpg
Anupam Gupta,https://cs.nyu.edu/~anupamg/,https://cs.nyu.edu/media/faculty_photos/anupam-gupta-2_PaZ6eIn.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Anupam_Gupta.jpeg
unknown_33,,https://cs.nyu.edu/media/faculty_photos/EranHalperinheadshot.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/unknown_33.jpg
He He,https://hhexiy.github.io/,https://cs.nyu.edu/media/faculty_photos/He_250x250.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/He_He.jpg
Chinmay Hegde,https://engineering.nyu.edu/faculty/chinmay-hegde,https://cs.nyu.edu/media/faculty_photos/chinmay_hegde.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Chinmay_Hegde.jpg
Lisa Hellerstein,https://engineering.nyu.edu/faculty/lisa-hellerstein,https://cs.nyu.edu/media/faculty_photos/lisa_hellerstein.jpg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Lisa_Hellerstein.jpg
Pavel Izmailov,https://engineering.nyu.edu/faculty/pavel-izmailov,https://cs.nyu.edu/media/faculty_photos/pavel_izmailov.jpeg,/content/drive/MyDrive/prof_photos/nyu_cs_faculty/Pavel_Izmailov.jpeg
