name,profile_url,image_url,local_path
Wei Wang,https://samueli.ucla.edu/people/wei-wang/,https://samueli.ucla.edu/wp-content/uploads/samueli/wei-wang_300x200-300x200.png,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Wei_Wang.png
Miryung Kim,https://samueli.ucla.edu/people/miryung-kim/,https://samueli.ucla.edu/wp-content/uploads/samueli/kim_miryung_thumbnail-300x200.jpg,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Miryung_Kim.jpg
Glenn Reinman,https://samueli.ucla.edu/people/glenn-reinman/,https://samueli.ucla.edu/wp-content/uploads/samueli/reinman-glenn-thumbnail-300x200.jpg,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Glenn_Reinman.jpg
Amit Sahai,https://samueli.ucla.edu/people/amit-sahai/,https://samueli.ucla.edu/wp-content/uploads/samueli/amit-sahai-featured-300x200.jpg,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Amit_Sahai.jpg
Omid Abari,https://samueli.ucla.edu/people/omid-abari/,https://samueli.ucla.edu/wp-content/uploads/samueli/omid-ABARI.jpg,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Omid_Abari.jpg
Sandra Batista,https://samueli.ucla.edu/people/sandra-batista/,https://samueli.ucla.edu/wp-content/uploads/samueli/Screenshot-2024-07-17-at-12.03.14%E2%80%AFPM-300x201.png,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Sandra_Batista.png
Kai-Wei Chang,https://samueli.ucla.edu/people/kai-wei-chang/,https://samueli.ucla.edu/wp-content/uploads/samueli/Kai_Wei_Chang-300x200.jpg,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Kai-Wei_Chang.jpg
John (Junghoo) Cho,https://samueli.ucla.edu/people/junghoo-john-cho/,https://samueli.ucla.edu/wp-content/uploads/samueli/cho_junghoo_thumbnail-300x200.jpg,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/John_Junghoo_Cho.jpg
Jason (Jingsheng) Cong,https://samueli.ucla.edu/people/jason-jingsheng-cong/,https://samueli.ucla.edu/wp-content/uploads/samueli/cong_jason_thumbnail-300x200.jpg,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Jason_Jingsheng_Cong.jpg
Yuchen Cui,https://samueli.ucla.edu/people/yuchen-cui/,https://samueli.ucla.edu/wp-content/uploads/samueli/profile_yuchen2-300x200.jpg,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Yuchen_Cui.jpg
Adnan Darwiche,https://samueli.ucla.edu/people/adnan-darwiche/,https://samueli.ucla.edu/wp-content/uploads/samueli/profile-photo-featured-adnan-darwiche-300x200.jpg,/content/drive/MyDrive/prof_photos/ucla_samueli_cs/Adnan_Darwiche.jpg
