school,department,professor,avg_rating,avg_difficulty,would_take_again_percent
University of California Los Angeles (UCLA),Computer Science,David Smallberg,3.5,3.8000000000000003,20
University of California Los Angeles (UCLA),Computer Science,Navid Amini,4.1000000000000005,3.4000000000000004,75
University of California Los Angeles (UCLA),Computer Science,Polly Low,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Lixia Zhang,1,5,0
University of California Los Angeles (UCLA),Computer Science,Richard Korf,3.3000000000000003,4.3,40
University of California Los Angeles (UCLA),Computer Science,Paul Eggert,2.7,4.6000000000000005,20
University of California Los Angeles (UCLA),Computer Science,Jordan Mendler,5,2.4000000000000004,100
University of California Los Angeles (UCLA),Computer Science,Asish Law,5,4,100
University of California Los Angeles (UCLA),Computer Science,J.A. Rohr,1.7000000000000002,4.7,100
University of California Los Angeles (UCLA),Computer Science,Junghoo Cho,4,4,100
University of California Los Angeles (UCLA),Computer Science,T.C Wittman,3.8000000000000003,3.4000000000000004,-1
University of California Los Angeles (UCLA),Computer Science,Song Chun Zhu,3.5,5,-1
University of California Los Angeles (UCLA),Computer Science,Matthew Mosley,3.5,3,-1
University of California Los Angeles (UCLA),Computer Science,Carlo Zaniolo,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Jason Cong,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Diana Kern,0,0,-1
University of California Los Angeles (UCLA),Computer Science,MICHAEL ANDREWS,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Stefano Soatto,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Ben Mansouri,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Fred Xu,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Eleazar Eskin,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Allen Klinger,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Tobias Duerschmid,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Sam Kumar,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Qi Zhao,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Mario Gerla,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Jialu Pu,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Jukka Virtanen,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Raghu Meka,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Amit Sahai,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Bolei Zhou,0,0,-1
University of California Los Angeles (UCLA),Computer Science,Zimeng Ming,0,0,-1
University of California Los Angeles (UCLA),Computer Science,"Ani Nahapetian, A",0,0,-1
University of California Los Angeles (UCLA),Fine Arts,Monique Van Genderen,3.5,2.5,50
University of California Los Angeles (UCLA),Fine Arts,Michael Hackett,2.9000000000000004,3.1,0
University of California Los Angeles (UCLA),Fine Arts,Peter Sellars,4.6000000000000005,2.3000000000000003,100
University of California Los Angeles (UCLA),Fine Arts,Mimi Lauter,2,3.5,0
University of California Los Angeles (UCLA),Fine Arts,Marco Rios,4,2,100
University of California Los Angeles (UCLA),Fine Arts,Suzanne Wright,4,4,100
University of California Los Angeles (UCLA),Fine Arts,John Houck,5,2,-1
University of California Los Angeles (UCLA),Fine Arts,Kevin Myers,4,1,-1
University of California Los Angeles (UCLA),Fine Arts,Roger Herman,4.5,3,-1
University of California Los Angeles (UCLA),Fine Arts,Hirsch Perlman,5,3,-1
University of California Los Angeles (UCLA),Fine Arts,Charlie Ray,1,4,-1
University of California Los Angeles (UCLA),Fine Arts,Robin McCauley,0,0,-1
University of California Los Angeles (UCLA),Fine Arts,Siri Kaur,0,0,-1
University of California Los Angeles (UCLA),Fine Arts,Jessica Williams,0,0,-1
University of California Los Angeles (UCLA),Fine Arts,J.A. Tumlir,0,0,-1
University of California Los Angeles (UCLA),Fine Arts,Andrea Fraser,0,0,-1
University of California Los Angeles (UCLA),Fine Arts,Tony Fitzgerald,0,0,-1
New York University,Computer Science,Amanda Steigman,3.5,2.9000000000000004,66.7
New York University,Computer Science,Tobias Blickhan,2.3000000000000003,4.6000000000000005,27.3
New York University,Computer Science,Bud Mishra,1.8,2.8000000000000003,15.8
New York University,Computer Science,Dishita Turakhia,3.4000000000000004,3.2,54.5
New York University,Computer Science,Yevgeniy Dodis,2.2,4.4,10
New York University,Computer Science,Anasse Bari,4.3,3.6,80.7
New York University,Computer Science,Alon Hillel-Tuch,5,2.7,100
New York University,Computer Science,Karl Rosenberg,2,3.8000000000000003,25
New York University,Computer Science,Michael Walfish,3.5,4.7,54.2
New York University,Computer Science,Mark Ramos,5,1.8,100
New York University,Computer Science,Matthew Zeidenberg,2.7,3.2,36.5
